folio,locus_id,descriptor,prefix,subtype,locus_key,clock,normalized_word,has_uncertain_reading,quire,hand,illustration,currier_language
f2r,14,@Lp,@,p,"f2r.14,@Lp",,ytoail,False,A,1,H,A
f2r,15,@L0,@,0,"f2r.15,@L0",,ios an on,False,A,1,H,A
f11v,5,*L0,*,0,"f11v.5,*L0",,dd,False,B,1,H,A
f17r,13,@Lx,@,x,"f17r.13,@Lx",,oteeeon oiil,False,C,1,H,A
f41v,1,@Lp,@,p,"f41v.1,@Lp",,keeredal,True,F,5,H,B
f49v,1,@L0,@,0,"f49v.1,@L0",,f,False,G,1,H,A
f49v,3,*L0,*,0,"f49v.3,*L0",,o,False,G,1,H,A
f49v,5,*L0,*,0,"f49v.5,*L0",,r,False,G,1,H,A
f49v,7,*L0,*,0,"f49v.7,*L0",,y,False,G,1,H,A
f49v,9,*L0,*,0,"f49v.9,*L0",,e,False,G,1,H,A
f49v,11,*L0,*,0,"f49v.11,*L0",,@140;,False,G,1,H,A
f49v,13,*L0,*,0,"f49v.13,*L0",,k,False,G,1,H,A
f49v,15,*L0,*,0,"f49v.15,*L0",,s,False,G,1,H,A
f49v,17,*L0,*,0,"f49v.17,*L0",,p,False,G,1,H,A
f49v,19,*L0,*,0,"f49v.19,*L0",,o,False,G,1,H,A
f49v,21,*L0,*,0,"f49v.21,*L0",,@192;,False,G,1,H,A
f49v,23,*L0,*,0,"f49v.23,*L0",,y,False,G,1,H,A
f49v,25,*L0,*,0,"f49v.25,*L0",,e,False,G,1,H,A
f49v,27,*L0,*,0,"f49v.27,*L0",,@140;,False,G,1,H,A
f49v,29,*L0,*,0,"f49v.29,*L0",,@164;,False,G,1,H,A
f49v,31,*L0,*,0,"f49v.31,*L0",,p,False,G,1,H,A
f49v,33,*L0,*,0,"f49v.33,*L0",,o,False,G,1,H,A
f49v,35,*L0,*,0,"f49v.35,*L0",,@192;,False,G,1,H,A
f49v,37,*L0,*,0,"f49v.37,*L0",,y,False,G,1,H,A
f49v,39,*L0,*,0,"f49v.39,*L0",,e,False,G,1,H,A
f49v,41,*L0,*,0,"f49v.41,*L0",,@140;,False,G,1,H,A
f49v,43,*L0,*,0,"f49v.43,*L0",,d,False,G,1,H,A
f49v,45,*L0,*,0,"f49v.45,*L0",,y,False,G,1,H,A
f49v,47,*L0,*,0,"f49v.47,*L0",,e,False,G,1,H,A
f49v,49,*L0,*,0,"f49v.49,*L0",,k,False,G,1,H,A
f49v,51,*L0,*,0,"f49v.51,*L0",,y,False,G,1,H,A
f57v,1,@L0,@,0,"f57v.1,@L0",10:30,dairal,False,H,1,C,
f57v,6,@L0,@,0,"f57v.6,@L0",,otodarag,True,H,1,C,
f57v,7,@L0,@,0,"f57v.7,@L0",,oparairdly,False,H,1,C,
f57v,8,@L0,@,0,"f57v.8,@L0",,olkeedal,False,H,1,C,
f57v,9,@L0,@,0,"f57v.9,@L0",,otardaly,False,H,1,C,
f65r,1,@Lp,@,p,"f65r.1,@Lp",,otaim dam alam,False,H,3,H,
f66r,1,@L0,@,0,"f66r.1,@L0",,rary,False,H,5,T,B
f66r,2,+L0,+,0,"f66r.2,+L0",,rals,True,H,5,T,B
f66r,3,+L0,+,0,"f66r.3,+L0",,qor,True,H,5,T,B
f66r,4,+L0,+,0,"f66r.4,+L0",,dary,False,H,5,T,B
f66r,5,+L0,+,0,"f66r.5,+L0",,ykeol,False,H,5,T,B
f66r,6,+L0,+,0,"f66r.6,+L0",,saly,False,H,5,T,B
f66r,7,+L0,+,0,"f66r.7,+L0",,salf,False,H,5,T,B
f66r,8,+L0,+,0,"f66r.8,+L0",,fary,False,H,5,T,B
f66r,9,+L0,+,0,"f66r.9,+L0",,qotesy,False,H,5,T,B
f66r,10,+L0,+,0,"f66r.10,+L0",,ykaly,False,H,5,T,B
f66r,11,+L0,+,0,"f66r.11,+L0",,doly,False,H,5,T,B
f66r,12,+L0,+,0,"f66r.12,+L0",,saiin,False,H,5,T,B
f66r,13,+L0,+,0,"f66r.13,+L0",,qokal,False,H,5,T,B
f66r,14,+L0,+,0,"f66r.14,+L0",,qolsa,False,H,5,T,B
f66r,15,+L0,+,0,"f66r.15,+L0",,raral,False,H,5,T,B
f66r,16,@L0,@,0,"f66r.16,@L0",,y,False,H,5,T,B
f66r,17,+L0,+,0,"f66r.17,+L0",,o,False,H,5,T,B
f66r,18,+L0,+,0,"f66r.18,+L0",,s,False,H,5,T,B
f66r,19,+L0,+,0,"f66r.19,+L0",,sh,False,H,5,T,B
f66r,20,+L0,+,0,"f66r.20,+L0",,y,False,H,5,T,B
f66r,21,+L0,+,0,"f66r.21,+L0",,d,False,H,5,T,B
f66r,22,+L0,+,0,"f66r.22,+L0",,o,False,H,5,T,B
f66r,23,+L0,+,0,"f66r.23,+L0",,f,False,H,5,T,B
f66r,24,+L0,+,0,"f66r.24,+L0",,@169;,False,H,5,T,B
f66r,25,+L0,+,0,"f66r.25,+L0",,x,False,H,5,T,B
f66r,26,+L0,+,0,"f66r.26,+L0",,air,False,H,5,T,B
f66r,27,+L0,+,0,"f66r.27,+L0",,d,False,H,5,T,B
f66r,28,+L0,+,0,"f66r.28,+L0",,sh,False,H,5,T,B
f66r,29,+L0,+,0,"f66r.29,+L0",,y,False,H,5,T,B
f66r,30,+L0,+,0,"f66r.30,+L0",,f,False,H,5,T,B
f66r,31,+L0,+,0,"f66r.31,+L0",,f,False,H,5,T,B
f66r,32,+L0,+,0,"f66r.32,+L0",,y,False,H,5,T,B
